129.0: -40,145.0: -43,36.0: -47,
129.0: -32,145.0: -45,36.0: -50,
129.0: -33,145.0: -44,36.0: -51,
129.0: -30,145.0: -44,36.0: -42,
129.0: -27,145.0: -41,36.0: -51,
129.0: -38,145.0: -42,36.0: -46,
129.0: -28,145.0: -42,36.0: -52,
129.0: -34,145.0: -42,36.0: -52,
129.0: -34,145.0: -45,36.0: -53,
129.0: -35,145.0: -42,36.0: -48,
129.0: -34,145.0: -46,36.0: -46,
129.0: -33,145.0: -46,36.0: -36,
129.0: -34,145.0: -44,36.0: -34,
129.0: -34,145.0: -40,36.0: -39,
129.0: -40,145.0: -34,36.0: -36,
129.0: -39,145.0: -35,36.0: -46,
129.0: -34,145.0: -39,36.0: -36,
129.0: -42,145.0: -39,36.0: -36,
129.0: -39,145.0: -34,36.0: -48,
129.0: -48,145.0: -51,36.0: -28,
129.0: -46,145.0: -39,36.0: -27,
129.0: -46,145.0: -34,36.0: -31,
129.0: -42,145.0: -27,36.0: -28,
129.0: -51,145.0: -30,36.0: -34,
129.0: -50,145.0: -29,36.0: -39,
129.0: -50,145.0: -27,36.0: -38,
