129.0: -40,145.0: -28,36.0: -39,
129.0: -42,145.0: -33,36.0: -34,
129.0: -44,145.0: -33,36.0: -55,
129.0: -39,145.0: -30,36.0: -50,
129.0: -39,145.0: -40,36.0: -37,
129.0: -50,145.0: -32,36.0: -27,
129.0: -42,145.0: -34,36.0: -25,
129.0: -47,145.0: -35,36.0: -36,
129.0: -43,145.0: -39,36.0: -31,
129.0: -50,145.0: -43,36.0: -35,
129.0: -48,145.0: -46,36.0: -34,
129.0: -37,145.0: -37,36.0: -44,
129.0: -39,145.0: -41,36.0: -34,
129.0: -37,145.0: -40,36.0: -36,
129.0: -41,145.0: -39,36.0: -46,
129.0: -44,145.0: -34,36.0: -35,
129.0: -40,145.0: -40,36.0: -39,
129.0: -33,145.0: -40,36.0: -46,
129.0: -39,145.0: -42,36.0: -48,
129.0: -27,145.0: -40,36.0: -43,
129.0: -31,145.0: -44,36.0: -46,
129.0: -29,145.0: -39,36.0: -50,
129.0: -26,145.0: -39,36.0: -49,
129.0: -32,145.0: -38,36.0: -45,
129.0: -38,145.0: -47,36.0: -40,
