Init from 145.0: -33,Init from 36.0: -93,
Init from 129.0: -40,Init from 145.0: -33,Init from 36.0: -51,
Init from 129.0: -40,Init from 145.0: -33,Init from 36.0: -52,
Init from 129.0: -41,Init from 145.0: -33,Init from 36.0: -52,
Init from 129.0: -41,Init from 145.0: -33,Init from 36.0: -54,
Init from 129.0: -42,Init from 145.0: -33,Init from 36.0: -50,
Init from 129.0: -41,Init from 145.0: -33,Init from 36.0: -50,
Init from 129.0: -41,Init from 145.0: -33,Init from 36.0: -51,
Init from 129.0: -41,Init from 145.0: -33,Init from 36.0: -50,
Init from 129.0: -42,Init from 145.0: -33,Init from 36.0: -50,
Init from 129.0: -42,Init from 145.0: -33,Init from 36.0: -53,
Init from 129.0: -41,Init from 145.0: -33,Init from 36.0: -55,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -54,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -94,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -53,
Init from 129.0: -42,Init from 145.0: -32,Init from 36.0: -53,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -52,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -51,
Init from 129.0: -41,Init from 145.0: -33,Init from 36.0: -52,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -52,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -51,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -51,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -52,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -51,
Init from 129.0: -41,Init from 145.0: -32,Init from 36.0: -52,
Init from 129.0: -42,Init from 145.0: -33,Init from 145.0: -33,Init from 36.0: -52,
Init from 129.0: -42,Init from 145.0: -32,Init from 36.0: -94,
Init from 129.0: -42,Init from 145.0: -32,Init from 36.0: -92,
Init from 129.0: -42,Init from 145.0: -33,Init from 36.0: -94,
Init from 129.0: -42,Init from 145.0: -32,Init from 36.0: -92,
Init from 129.0: -42,Init from 145.0: -33,Init from 129.0: -40,Init from 145.0: -40,Init from 36.0: -98,
Init from 129.0: -40,Init from 145.0: -32,Init from 36.0: -55,
Init from 129.0: -42,Init from 145.0: -33,Init from 145.0: -39,Init from 129.0: -42,Init from 145.0: -33,Init from 129.0: -42,Init from 145.0: -33,Init from 129.0: -42,Init from 129.0: -42,Init from 145.0: -33,Init from 129.0: -42,Init from 145.0: -32,Init from 36.0: -49,
Init from 129.0: -42,Init from 145.0: -33,Init from 36.0: -48,
Init from 36.0: -48,
Init from 129.0: -42,Init from 145.0: -32,Init from 36.0: -52,
Init from 129.0: -42,Init from 145.0: -32,Init from 36.0: -50,
Init from 129.0: -42,Init from 145.0: -33,Init from 36.0: -52,
Init from 129.0: -42,Init from 145.0: -33,Init from 36.0: -93,
Init from 129.0: -43,Init from 145.0: -33,Init from 36.0: -53,
Init from 129.0: -40,Init from 145.0: -33,Init from 36.0: -52,
Init from 129.0: -45,Init from 145.0: -33,Init from 36.0: -92,
Init from 129.0: -42,Init from 145.0: -33,Init from 36.0: -96,
Init from 129.0: -40,Init from 145.0: -33,Init from 36.0: -94,
Init from 129.0: -40,Init from 145.0: -33,Init from 129.0: -40,Init from 145.0: -33,Init from 129.0: -40,Init from 145.0: -33,Init from 36.0: -52,
